X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
23,Pate’s Grammar School,State,103,26,Pates Grammar School,136353.0,Gloucestershire,916.0,5403.0,9165403.0,Pate's Grammar School,Princess Elizabeth Way,,,Cheltenham,GL51 0HG,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Selective,Outstanding,26-04-2013,51.906695,-2.1156684
24,Tiffin School,State,126,26,Tiffin School,136910.0,Kingston upon Thames,314.0,5400.0,3145400.0,Tiffin School,Queen Elizabeth Road,,,Kingston upon Thames,KT2 6RL,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,Christian,Selective,,,51.4117451,-0.2960951
25,King’s College School,Independent ,77,26,Kings College School,102684.0,Merton,315.0,6000.0,3156000.0,King's College School,Southside,Wimbledon Common,,London,SW19 4TT,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Mixed,Church of England,Selective,,,51.42158389999999,-0.2262316
25,King’s College School,Independent ,77,26,Kings College School,110911.0,Cambridgeshire,873.0,6000.0,8736000.0,King's College School,West Road,,,Cambridge,CB3 9DN,Open,,,Independent school,Other independent school,1.0,1.0,0.0,4.0,14.0,Mixed,None,Selective,,,51.42158389999999,-0.2262316
26,"Greenhead College, Huddersfield ",State,114,25,Greenhead College,130538.0,Kirklees,382.0,8600.0,3828600.0,Greenhead College,Greenhead Road,,,Huddersfield,HD1 4ES,Open,,,College,Further education,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,18-03-2022,53.647018,-1.793668
27,Wilson’s School,State ,84,24,Wilsons School,136621.0,Sutton,319.0,5400.0,3195400.0,Wilson's School,Mollison Drive,,,Wallington,SM6 9JW,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,Church of England,Selective,,,51.3589928,-0.1282249
28,North London Collegiate School,Independent,86,24,North London Collegiate School,102257.0,Harrow,310.0,6075.0,3106075.0,North London Collegiate School,Canons,Canons Drive,Edgware,Middlesex,HA8 7RJ,Open,,,Independent school,Other independent school,1.0,1.0,1.0,4.0,18.0,Girls,None,Not applicable,,,51.6147956,-0.2974081
29,"The Judd School, Tonbridge",State,91 ,24,Judd School,118843.0,Kent,886.0,4622.0,8864622.0,The Judd School,Brook Street,,,Tonbridge,TN9 2PN,Open,,,Maintained school,Voluntary aided school,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,Outstanding,07-05-2015,51.1881248,0.264368
30,Colchester Royal Grammar School,State,103,24,Colchester Royal Grammar School,137814.0,Essex,881.0,5443.0,8815443.0,Colchester Royal Grammar School,Lexden Road,,,Colchester,CO3 3ND,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,Christian,Selective,Serious Weaknesses,13-05-2021,51.88685290000001,0.8868988999999999
31=,"King Edward VI Grammar School, Chelmsford",State,97,23,King Edward VI Grammar School,136642.0,Essex,881.0,5411.0,8815411.0,"King Edward VI Grammar School, Chelmsford",Broomfield Road,,,Chelmsford,CM1 3SX,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Selective,Outstanding,09-12-2021,51.7397534,0.4658340999999999
31=,"King Edward VI Grammar School, Chelmsford",State,97,23,King Edward VI Grammar School,142262.0,Lincolnshire,925.0,5405.0,9255405.0,King Edward VI Grammar School,Edward Street,,,Louth,LN11 9LL,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Selective,,,51.7397534,0.4658340999999999
31=,Manchester Grammar School,Independent,97,23,Manchester Grammar School,105591.0,Manchester,352.0,6029.0,3526029.0,The Manchester Grammar School,Old Hall Lane,,,Manchester,M13 0XT,Open,,,Independent school,Other independent school,1.0,1.0,1.0,7.0,18.0,Boys,None,Selective,,,53.4487006,-2.2101949
33,Barton Peveril College,State,103,23,Barton Peveril College,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9620787,-1.3660921
34,King’s College London Mathematics School,State,52,22,Kings College London Maths School,140564.0,Lambeth,208.0,4002.0,2084002.0,King's College London Maths School,80 Kennington Road,,,London,SE11 6NJ,Open,,,College,Free schools 16 to 19,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Non-selective,Outstanding,27-04-2017,51.49588749999999,-0.1114662
35,Hereford Sixth Form College,State,59,22,Hereford Sixth Form College,143929.0,"Herefordshire, County of",884.0,8600.0,8848600.0,Hereford Sixth Form College,Folly Lane,,,Hereford,HR1 1LU,Open,,,Academy,Academy 16-19 converter,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,16-04-2008,52.0622748,-2.699173
36,Reading School,State,68 ,22,Reading School,136449.0,Reading,870.0,5401.0,8705401.0,Reading School,Erleigh Road,,,Reading,RG1 5LW,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,,,51.4486089,-0.9542480999999999
37,Tonbridge School,Independent ,77,22,Tonbridge School,118959.0,Kent,886.0,6020.0,8866020.0,Tonbridge School,,,,Tonbridge,TN9 1JP,Open,,,Independent school,Other independent school,0.0,1.0,1.0,13.0,18.0,Boys,None,Not applicable,,,51.200123,0.275166
38,The Sixth Form College Farnborough,State,117,22,Sixth Form College Farnborough,145057.0,Hampshire,850.0,8604.0,8508604.0,The Sixth Form College Farnborough,Prospect Avenue,,,Farnborough,GU14 8JX,Open,,,Academy,Academy 16-19 converter,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,01-10-2021,51.3047894,-0.7552164
39,"Loreto College, Manchester",State,74,21,Loreto College,130503.0,Manchester,352.0,8601.0,3528601.0,Loreto College,Chichester Road,Hulme,,Manchester,M15 5PB,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Roman Catholic,Not applicable,Outstanding,13-11-2009,53.4621313,-2.252243
39,"Loreto College, Manchester",State,74,21,Loreto College,138106.0,Hertfordshire,919.0,4620.0,9194620.0,Loreto College,Hatfield Road,,,St Albans,AL1 3RQ,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Girls,Roman Catholic,Non-selective,Outstanding,02-05-2013,53.4621313,-2.252243
